,user_id,item_id,recommend,posted year,sentiment_score
102,Bluezap1,413850,True,2015,0
103,76561198074200011,730,True,2015,0
104,jonasdbomb,346110,True,,0
105,L1J1N,570,True,2014,0
106,Lord_Exploit,311560,True,2015,0
106,Lord_Exploit,322170,True,2015,0
107,AVATAR715,48240,False,2014,2
107,AVATAR715,440,True,2015,0
107,AVATAR715,248570,True,2014,2
107,AVATAR715,264140,True,2014,0
107,AVATAR715,4000,True,2014,0
107,AVATAR715,266430,True,2015,0
107,AVATAR715,316010,True,2015,0
107,AVATAR715,249570,True,2014,0
108,YieuwMage,730,True,,0
109,76561198078752187,240,True,2014,0
110,A-Very-Sly-Person,304930,True,2015,0
110,A-Very-Sly-Person,440,True,2014,0
111,76561198211054671,730,True,,0
111,76561198211054671,333930,True,,2
112,76561197994493402,365590,True,,0
112,76561197994493402,264200,True,2015,0
112,76561197994493402,440,True,2014,0
113,Koolcaz12,298050,False,,0
114,76561198065656175,383080,True,2015,0
115,76561198188979775,440,True,,0
116,97396295,301520,True,2014,0
116,97396295,243870,True,2014,0
116,97396295,218230,False,2014,2
116,97396295,291550,False,,2
117,76561198126640317,251570,True,2015,0
117,76561198126640317,221100,True,2015,0
117,76561198126640317,316010,True,2015,0
117,76561198126640317,218230,True,2015,2
117,76561198126640317,333930,True,2015,0
117,76561198126640317,222880,True,2015,0
117,76561198126640317,730,True,2015,0
118,DemonicWolvz,55230,True,2015,0
118,DemonicWolvz,232090,True,2015,0
118,DemonicWolvz,4000,True,2015,0
118,DemonicWolvz,206420,True,2014,0
118,DemonicWolvz,224260,True,2014,0
118,DemonicWolvz,550,True,2013,0
119,DieMadchenschanderin,346110,True,2015,0
119,DieMadchenschanderin,380770,False,2015,2
119,DieMadchenschanderin,454890,True,,2
119,DieMadchenschanderin,227680,False,2013,0
120,GGargula,570,False,,0
120,GGargula,233250,True,2015,0
121,Myther43,273350,True,,0
122,getf0kinn0sc0pedm9,730,True,2015,2
122,getf0kinn0sc0pedm9,440,False,,2
123,76561198141443390,730,True,2015,0
124,76561198097333029,570,True,,0
125,whodafuqisthisguilao,730,True,2015,0
126,Magjiikal,370480,True,2015,0
126,Magjiikal,313740,True,2015,0
127,ohnospaghet,1840,True,2014,0
127,ohnospaghet,440,True,2014,2
127,ohnospaghet,266210,True,2015,0
127,ohnospaghet,369200,True,,0
127,ohnospaghet,252490,False,,2
127,ohnospaghet,264200,True,2015,0
128,76561198050347115,292030,True,,2
129,2768820078,287700,True,2015,0
129,2768820078,730,False,,0
129,2768820078,310950,True,,0
129,2768820078,377160,True,2015,0
129,2768820078,221380,True,2015,0
129,2768820078,333950,True,2015,0
129,2768820078,222420,False,2015,0
129,2768820078,271590,True,2015,0
129,2768820078,298110,True,2015,0
129,2768820078,222440,True,2015,0
130,76561198056392326,259530,True,,0
130,76561198056392326,219640,False,,0
130,76561198056392326,269210,False,,0
131,2d4nk4m3,317470,False,2014,0
131,2d4nk4m3,47410,True,2014,0
132,76561198078478151,730,True,,0
133,exiaez,365450,True,,0
134,76561198095921854,245620,True,2015,0
135,EizanAratoFujimaki,70,True,2015,0
135,EizanAratoFujimaki,359550,False,,2
136,TeCool,274980,True,2014,0
136,TeCool,202090,True,2014,0
136,TeCool,339280,True,2015,0
136,TeCool,314130,False,2015,2
137,2xDelorean,570,True,2015,0
137,2xDelorean,212680,True,2013,0
137,2xDelorean,200210,True,2013,0
137,2xDelorean,440,True,2011,0
138,washington_,440,False,,0
138,washington_,4000,True,,0
138,washington_,211820,True,,0
138,washington_,10180,True,,0
138,washington_,252490,True,,0
138,washington_,417860,True,2015,2
139,jewxxl,251970,True,2015,0
140,76561198088944293,359550,True,,2
140,76561198088944293,107410,True,,0
140,76561198088944293,218230,False,,0
140,76561198088944293,437701,False,,0
140,76561198088944293,304930,True,2014,0
141,76561198092540221,400,True,2015,0
141,76561198092540221,620,True,2015,0
141,76561198092540221,238460,True,2015,0
141,76561198092540221,6060,True,2015,0
141,76561198092540221,440,True,2014,0
142,76561198051258119,730,True,2015,0
143,nubquake123,265610,True,2014,0
144,Pyromanic,31280,True,2013,0
144,Pyromanic,4000,True,2013,0
144,Pyromanic,240,True,2013,0
145,76561198109656922,440,True,,0
146,CobRazor,252490,True,2015,0
147,relesprit,8930,True,2013,0
148,WitchHunter4542,304930,True,2014,0
148,WitchHunter4542,237310,True,2015,2
148,WitchHunter4542,224260,True,2014,0
149,pwrt,230410,True,2015,0
149,pwrt,440,True,2014,0
150,wantmahbody,440,True,2014,0
151,76561198115868847,219640,False,,2
152,benedictcuminherbatch,570,True,2014,0
153,76561198031207016,8930,True,2014,0
154,76561198043458582,105600,True,2015,0
154,76561198043458582,221100,True,2015,0
154,76561198043458582,107410,True,2015,0
154,76561198043458582,231430,True,2014,0
155,smashiroshh,218620,True,2014,0
156,shark854,225540,True,,0
157,killbunny38,570,True,2015,0
157,killbunny38,333930,False,2015,0
158,76561198047630659,230410,False,2015,0
159,1337lolroflmao,271590,True,2015,0
159,1337lolroflmao,218620,True,2014,2
159,1337lolroflmao,219740,True,2013,2
159,1337lolroflmao,7940,True,2013,0
159,1337lolroflmao,234190,True,2014,0
159,1337lolroflmao,10180,True,2013,0
159,1337lolroflmao,33900,True,2013,0
159,1337lolroflmao,261030,True,2015,0
159,1337lolroflmao,243470,True,2014,2
160,sithjjf,302830,False,2015,2
161,76561198060039459,570,False,2014,2
162,OzfurAtlas,218620,False,,0
162,OzfurAtlas,4700,True,,2
162,OzfurAtlas,212680,True,2013,2
163,76561198065593074,304930,False,2015,2
163,76561198065593074,730,False,,2
163,76561198065593074,304050,True,2015,0
163,76561198065593074,203750,True,2014,0
164,76561198044169764,227940,False,2015,0
164,76561198044169764,355180,False,2015,2
164,76561198044169764,730,True,,2
164,76561198044169764,4000,True,2015,0
165,euzi,236390,True,2014,0
166,76561198074935997,221100,False,,2
166,76561198074935997,365590,False,,0
166,76561198074935997,299740,True,,0
166,76561198074935997,346110,False,,0
166,76561198074935997,275850,False,,0
166,76561198074935997,400800,False,,2
166,76561198074935997,252490,False,,0
166,76561198074935997,437220,False,,0
167,76561197961778802,730,True,2014,0
168,lucasrash,440,True,,0
169,76561198016602703,301520,False,,2
169,76561198016602703,433340,True,,0
170,thisissohardtomakeoneup,440,True,2014,0
171,76561198087010391,4000,True,2015,0
172,66666669999999,302830,False,2015,0
173,76561198061174192,220200,True,2014,0
173,76561198061174192,242760,True,2014,2
174,ReMiXOfficalSteam,352460,True,2015,0
175,Wilfire77,322920,True,2015,0
176,76561198084390807,234792,True,2015,0
176,76561198084390807,252490,True,2014,0
177,Mastic,304050,False,2015,2
177,Mastic,297130,True,,0
177,Mastic,397570,True,,2
177,Mastic,550,True,2014,0
177,Mastic,206420,True,2014,0
177,Mastic,278360,False,,0
178,76561198028286104,10180,True,2013,0
179,tarjla,242760,True,,0
179,tarjla,304930,True,2014,0
179,tarjla,441790,True,,0
179,tarjla,265750,True,2015,0
179,tarjla,252490,True,2014,0
179,tarjla,4000,True,2013,0
179,tarjla,211820,True,2013,0
179,tarjla,105600,True,2013,0
179,tarjla,251570,True,,0
179,tarjla,730,True,2014,0
180,deathnz1,233110,False,,2
180,deathnz1,322910,False,,0
180,deathnz1,276340,True,2014,0
181,readingthis4noobs,227940,True,,0
182,76561198104393251,304930,True,2015,0
183,76561198075322986,730,True,,0
184,redsncrimson,448530,True,,0
184,redsncrimson,304410,True,,0
184,redsncrimson,620,True,,0
184,redsncrimson,274920,True,2014,0
184,redsncrimson,211820,True,2013,0
184,redsncrimson,219890,True,,0
184,redsncrimson,49520,True,2013,0
184,redsncrimson,223510,True,2013,0
184,redsncrimson,440,True,2012,0
185,76561198151910904,252950,True,,0
186,H1DD3NT3RR0R,240,True,2014,0
186,H1DD3NT3RR0R,105600,True,2014,0
186,H1DD3NT3RR0R,204300,True,2013,0
186,H1DD3NT3RR0R,730,True,2014,2
186,H1DD3NT3RR0R,440,False,2015,2
186,H1DD3NT3RR0R,570,True,2014,2
187,76561198071214618,268750,True,2015,0
188,76561198115115631,570,True,2015,0
189,76561198071175142,570,True,2015,0
189,76561198071175142,271590,True,2015,0
190,t8s,360870,True,2015,0
190,t8s,730,True,2015,0
191,pikawuu2,230410,True,,0
191,pikawuu2,12900,True,2013,0
192,Sammeh00,301520,True,2014,0
193,Michaelele,6060,True,2014,0
193,Michaelele,730,True,2014,0
193,Michaelele,107410,True,2014,0
193,Michaelele,304930,True,2014,0
194,76561198045754869,335670,True,2015,0
195,76561198076098774,215080,True,2015,0
196,76561198103253374,570,True,2014,2
197,76561198048417105,271590,True,2015,0
197,76561198048417105,730,True,2015,0
197,76561198048417105,244160,True,,0
197,76561198048417105,270880,True,,0
198,76561198090842891,8190,True,2015,0
199,76561198055767971,247730,False,2015,2
200,76561197998052647,233630,True,2014,0
201,adohya343,303390,False,,0
202,76561198145436942,221100,True,2014,0
203,jjas01,208812,False,2014,0
203,jjas01,218620,False,2015,0
203,jjas01,243120,True,2013,0
203,jjas01,234140,True,2015,0
203,jjas01,204450,True,2014,0
203,jjas01,225260,True,2014,0
203,jjas01,50300,True,2013,0
203,jjas01,201810,True,2014,0
203,jjas01,212630,False,,2
203,jjas01,427820,False,,2
204,3xotic26,500,True,2014,0
204,3xotic26,440,True,2014,0
204,3xotic26,49520,True,2014,0
204,3xotic26,550,True,2013,0
205,iamthetrashlord,206420,True,2015,0
205,iamthetrashlord,213670,True,2014,0
206,3dster,550,True,2015,0
207,76561198079990063,231040,True,2014,0
208,Forty-Nine,221100,True,2014,2
208,Forty-Nine,376300,False,,0
209,76561198051017916,351040,True,2015,0
209,76561198051017916,250600,True,2014,0
210,L4M1NAS,227940,True,,0
210,L4M1NAS,437220,True,,0
210,L4M1NAS,221100,True,2015,0
211,76561198096766604,301520,False,,0
212,76561197995322437,264710,True,2015,0
213,imsojipper,218620,True,2014,0
214,76561198084542731,206420,True,2015,0
214,76561198084542731,47790,True,2014,0
215,76561198103671881,570,True,2015,0
216,mrpfresh,236110,True,,2
216,mrpfresh,346110,True,2015,2
216,mrpfresh,232790,True,,0
217,GamerFag,440,True,2012,0
217,GamerFag,70,True,2011,2
217,GamerFag,420,True,2011,0
217,GamerFag,380,True,2011,0
217,GamerFag,220,True,2011,0
217,GamerFag,1250,True,2010,0
218,EHS-R3AP3R,339230,False,2015,2
218,EHS-R3AP3R,349700,True,2015,0
218,EHS-R3AP3R,226700,True,2013,0
218,EHS-R3AP3R,209160,True,2013,0
219,chidori_647,219990,True,2013,0
219,chidori_647,213670,True,2014,0
219,chidori_647,21100,False,2013,2
219,chidori_647,8190,True,2013,0
219,chidori_647,215470,False,2013,2
220,76561198092227136,730,True,2014,0
220,76561198092227136,1250,True,2014,0
221,hellcat59,4000,True,2014,0
222,76561198007584361,401650,True,2015,2
223,tbimperator,35450,True,2012,0
224,Allahu_Akbar666,230410,True,2015,0
224,Allahu_Akbar666,304930,False,2014,2
225,ulramite,290020,True,2014,0
225,ulramite,248860,True,2014,2
225,ulramite,211820,True,,0
226,-GM-Dragon,226700,False,2014,2
226,-GM-Dragon,244850,True,2015,0
227,76561198054040292,298260,True,2015,0
228,76561198078799606,370240,False,2015,2
228,76561198078799606,730,True,2015,0
228,76561198078799606,233450,True,2014,0
229,I_DID_911_JUST_SAYING,214420,True,,0
229,I_DID_911_JUST_SAYING,365670,True,,0
229,I_DID_911_JUST_SAYING,440,True,,0
229,I_DID_911_JUST_SAYING,4000,True,,0
229,I_DID_911_JUST_SAYING,221260,True,2013,0
230,750805,369070,False,,2
230,750805,91310,False,,2
231,diabeticfuck,218620,True,2015,0
231,diabeticfuck,419070,True,2015,0
231,diabeticfuck,333930,False,2015,2
231,diabeticfuck,287700,True,2015,0
232,76561198054465623,302830,False,2015,0
232,76561198054465623,24240,True,2014,0
232,76561198054465623,39800,True,2015,0
232,76561198054465623,250600,True,2014,2
232,76561198054465623,105600,True,2015,2
232,76561198054465623,113020,True,2014,0
233,aaropro,440,True,2014,0
233,aaropro,221100,True,,0
234,abiam,238960,True,2014,0
235,FrankoWalker,310370,True,2015,0
235,FrankoWalker,260410,True,2014,0
235,FrankoWalker,236390,True,2014,2
236,LightfootSword7,221100,False,2015,0
236,LightfootSword7,383870,True,,0
237,SALTTHEW0UND,248820,True,2015,0
237,SALTTHEW0UND,730,True,2014,0
237,SALTTHEW0UND,550,True,2014,0
237,SALTTHEW0UND,204030,True,2014,0
237,SALTTHEW0UND,440,True,2013,0
237,SALTTHEW0UND,383080,True,2015,0
238,express157,304930,True,2014,0
239,76561198074644990,242760,True,2015,0
239,76561198074644990,207230,True,2015,0
239,76561198074644990,9180,False,2013,2
240,76561198064304806,730,True,2015,2
241,TomoeMamiewe,10150,True,2014,0
241,TomoeMamiewe,4000,True,,0
242,76561198057086148,214950,True,2015,0
243,Acidius99,218620,True,2014,0
243,Acidius99,292030,True,,0
243,Acidius99,261640,True,,0
243,Acidius99,220240,True,2014,0
243,Acidius99,271290,False,2015,2
244,acorn13,313740,True,2014,0
244,acorn13,34330,True,2012,2
244,acorn13,271590,True,2015,0
245,adamcookie,570,True,,0
246,AddzyTheBaddzy,291550,True,2015,0
246,AddzyTheBaddzy,259080,True,2013,0
247,mrfunkyjunkie,233250,True,2014,0
247,mrfunkyjunkie,256350,True,2014,0
247,mrfunkyjunkie,249380,True,2015,0
248,mradobe7,275850,False,,0
249,76561198167207237,337320,True,,2
249,76561198167207237,391540,True,2015,0
249,76561198167207237,265930,True,2015,0
249,76561198167207237,620,True,2015,0
250,cancerkek,730,True,2015,0
251,76561198073508075,10090,True,2014,0
251,76561198073508075,251570,True,,2
251,76561198073508075,218680,True,2014,0
252,76561198074323290,252490,False,,0
252,76561198074323290,251060,False,,2
253,76561198090899557,252490,False,,2
254,advenger95,22370,True,2015,0
254,advenger95,307690,True,2015,0
254,advenger95,72850,True,2015,2
255,EndAtHallow,1250,True,2015,2
256,76561198063624801,440,True,2014,0
257,aeryal,440,True,2014,0
258,76561198070263209,570,True,2013,0
259,76561198015968275,248610,True,2015,2
260,Agiegamma,208090,True,2014,0
261,76561198082614708,250340,True,2014,0
262,Agronoth,244850,True,2014,0
262,Agronoth,221640,True,2015,0
262,Agronoth,104900,True,2015,0
262,Agronoth,105600,True,2015,0
262,Agronoth,9450,False,2015,0
263,UnholyFallenAngel,262410,True,2014,0
263,UnholyFallenAngel,222940,True,2015,0
263,UnholyFallenAngel,221040,True,2014,0
264,76561198068565589,221100,True,2014,0
264,76561198068565589,286570,True,2015,0
264,76561198068565589,263440,False,2014,0
265,SlutOnTheSpit,4000,True,2014,0
266,WestyGaming,223710,True,2014,0
267,NaruseAiria,317360,True,2014,0
267,NaruseAiria,108600,True,2014,0
267,NaruseAiria,259080,True,2013,0
267,NaruseAiria,208520,True,2013,0
268,76561198067713802,239660,True,2015,0
268,76561198067713802,304930,True,2015,0
269,76561198187212131,730,True,,0
270,76561198044678148,495890,True,,0
270,76561198044678148,472680,True,,0
271,Alex680,4000,True,2014,0
272,alansiulun,295270,True,2014,0
272,alansiulun,265930,True,2015,0
273,Albolah,283920,True,2015,2
273,Albolah,440,True,2015,0
273,Albolah,294650,True,2015,0
274,76561198003056556,432020,False,,0
274,76561198003056556,233720,True,2014,0
275,maxpaynepillkiller,319630,True,,0
275,maxpaynepillkiller,12120,True,2015,0
275,maxpaynepillkiller,241930,True,,0
275,maxpaynepillkiller,428690,True,,0
275,maxpaynepillkiller,55230,True,2015,0
275,maxpaynepillkiller,243470,False,,2
276,AlexNoClutch,227860,False,2015,0
277,Alexwai04,218620,True,2015,0
278,76561198095481910,208090,True,2014,2
279,76561198164545985,730,True,,0
280,AlkalineDeath,228280,True,2015,0
280,AlkalineDeath,240760,True,2014,0
281,76561198075935236,226700,True,2015,0
281,76561198075935236,250900,True,2015,0
282,mintifreshbadger,35450,True,2015,2
283,AlpacaRevolution,9900,True,,0
283,AlpacaRevolution,212680,True,2014,0
283,AlpacaRevolution,346110,False,2015,0
284,AlphaBryn444,236370,True,,0
285,76561198071952798,381210,True,,2
285,76561198071952798,265930,False,,2
285,76561198071952798,218620,True,,0
285,76561198071952798,205100,True,2013,0
286,76561198009001563,570,True,2014,0
287,76561198016753953,271290,True,2014,0
287,76561198016753953,570,True,2014,0
288,smegmyfoodle,346010,True,2015,0
288,smegmyfoodle,239250,True,2015,2
289,76561198057869849,313120,True,2015,0
290,76561198058836921,211820,True,2015,0
291,lol_ursuchanoob,218620,True,2014,2
291,lol_ursuchanoob,12210,True,2014,0
291,lol_ursuchanoob,220240,True,2014,2
291,lol_ursuchanoob,17300,True,2014,0
292,AMV72,206440,True,2013,0
292,AMV72,209100,False,2012,2
292,AMV72,209000,True,2013,0
292,AMV72,218060,True,2013,0
292,AMV72,24240,True,2012,0
293,76561198069170979,440,True,2015,0
294,76561198085956238,224540,False,,2
294,76561198085956238,242860,False,,2
294,76561198085956238,47410,True,,0
294,76561198085956238,34330,False,,2
295,76561198132540690,730,True,2015,0
295,76561198132540690,220200,True,2015,0
296,711armageddoncarmageddon,113020,True,2015,0
296,711armageddoncarmageddon,105600,True,2015,0
296,711armageddoncarmageddon,9480,True,2015,0
297,76561198034868596,359870,True,,0
298,Andraison,22230,True,2015,2
299,76561198055790408,203770,True,2013,0
300,76561198069560699,550,True,2013,0
300,76561198069560699,259080,True,2013,0
300,76561198069560699,72850,True,2013,0
300,76561198069560699,8870,True,2014,0
301,76561198099625419,230410,True,2014,0
301,76561198099625419,200260,True,2014,0
301,76561198099625419,19900,True,2013,0
301,76561198099625419,241540,True,2013,0
301,76561198099625419,220,True,2013,0
302,76561198084032274,227940,False,2014,2
302,76561198084032274,236390,False,2014,0
303,Angrovar,17390,True,2014,0
303,Angrovar,359320,True,2015,0
304,AngryAinsley,317360,True,2015,0
304,AngryAinsley,253030,True,2015,0
304,AngryAinsley,295110,True,2015,0
304,AngryAinsley,264710,True,2015,0
305,uradumbtit,274310,True,2014,2
305,uradumbtit,4000,True,2014,0
306,76561198037038784,252470,True,,2
307,IKillNoobsFirst,730,True,2015,0
308,76561198037888300,344770,True,2015,0
309,1234865654,22380,True,2014,2
310,76561198040925596,440,True,,0
311,76561198084123358,9900,True,2015,0
312,Apachehavoc,107410,False,2014,0
313,ApexNZ,221640,True,2014,0
313,ApexNZ,202170,True,2014,0
313,ApexNZ,49520,True,2014,2
313,ApexNZ,245490,True,2014,0
313,ApexNZ,313120,True,2015,0
314,76561198039441595,113020,False,2014,0
314,76561198039441595,319510,False,2015,2
314,76561198039441595,20,False,2014,2
314,76561198039441595,209080,False,2014,2
314,76561198039441595,223470,False,2014,0
314,76561198039441595,417860,True,2015,0
314,76561198039441595,269250,True,2015,0
314,76561198039441595,313740,False,2014,0
314,76561198039441595,8190,True,2014,2
315,76561198036687918,377160,True,2015,0
316,benjamin27,730,True,2015,0
316,benjamin27,244850,True,2014,0
317,AppoGetsSuperAdmin,212500,True,2015,0
317,AppoGetsSuperAdmin,570,False,2015,0
317,AppoGetsSuperAdmin,104900,True,2015,0
318,76561198071475367,12160,True,,0
319,76561198049916759,219990,True,2015,0
